timestamp,IdRegion,IdDrone,CurrentDate,CurrentTime,x,y,RegionState,StreetCode1,StreetCode2,StreetCode3,HouseNumber,StreetName,Violation,IdPhoto,Plaque,PlateType,VehicleBodyType,VehicleMake,VehicleColor,ViolationCode,ViolationDescription
2020-07-15T22:32:00.079+02:00,2,22,2020-07-15,22:32:00,43.65738,-73.11996,NY,5580,68730,"",7112,5th Ave,1,08b597ff-3597-48b2-a544-cddfb666b1a0,"","","","","","",""
2020-07-15T22:32:00.273+02:00,7,71,2020-07-15,22:32:00,41.070866,-79.47578,NY,24890,17890,"",459,Lexington Ave,1,b41eb04a-6eb2-49a8-a838-66682c17bc2b,"","","","","","",""
2020-07-15T22:32:00.404+02:00,3,31,2020-07-15,22:32:00,41.12462,-75.98824,NY,0,0,"",411,Myrtle Ave,1,18912921-3b22-4e14-9302-efbf2759f869,"","","","","","",""
2020-07-15T22:32:00.525+02:00,2,27,2020-07-15,22:32:00,43.39397,-73.09217,NY,69230,31130,"",135,Park Ave,1,9874cf6f-193b-4b8a-bb5b-63261d161054,"","","","","","",""
2020-07-15T22:32:00.643+02:00,5,52,2020-07-15,22:32:00,41.447113,-77.769516,NY,6240,7340,"",26-24,18th St,1,8f590ab2-712f-49f9-aeba-dc2a7e3fdcb8,"","","","","","",""
2020-07-15T22:32:00.784+02:00,4,46,2020-07-15,22:32:00,43.91636,-75.87146,NY,34170,10510,"",127,W 20th St,1,9636c6ee-ecd4-4523-8d77-830278667b1e,"","","","","","",""
2020-07-15T22:32:00.937+02:00,1,13,2020-07-15,22:32:00,41.291145,-73.337776,NY,29220,27300,"",135,E Fordham Rd,1,6f6950f2-c4e5-43a1-b3b6-a77b255cdd12,"","","","","","",""
2020-07-15T22:32:01.069+02:00,7,76,2020-07-15,22:32:01,41.69397,-79.67118,NY,18870,10410,"",17,E 95th St,1,aaa1ccbd-b178-49ce-aa54-5b5ab08d0cb5,"","","","","","",""
2020-07-15T22:32:01.200+02:00,6,61,2020-07-15,22:32:01,43.260796,-77.99374,NY,0,0,"",41-43,Benham St,1,f6200934-6ce8-4519-b999-b749f097cb99,"","","","","","",""
2020-07-15T22:32:01.347+02:00,7,77,2020-07-15,22:32:01,41.070866,-79.47578,NY,24890,17890,"",459,Lexington Ave,1,a5e13f26-258e-478f-98b0-1d4f2b553138,"","","","","","",""
2020-07-15T22:32:01.449+02:00,4,42,2020-07-15,22:32:01,43.57823,-75.90359,NY,29220,40404,"",2486,E Fordham Rd,1,c2976d3f-675f-4355-a131-c5ea69d8f1c3,"","","","","","",""
2020-07-15T22:32:01.561+02:00,1,17,2020-07-15,22:32:01,41.291145,-73.337776,NY,29220,27300,"",135,E Fordham Rd,1,6f1826fc-7aca-42e5-b4cd-c0612523144d,"","","","","","",""
2020-07-15T22:32:01.662+02:00,2,27,2020-07-15,22:32:01,43.361374,-73.839935,NY,37930,26630,"",286,E 93rd St,1,3a2120a4-bc99-477e-9f5f-86ee85040c76,"","","","","","",""
2020-07-15T22:32:01.760+02:00,2,25,2020-07-15,22:32:01,43.49893,-73.001114,NY,0,0,"",109-13,127th St,1,b583d7bf-8b68-4049-b670-f64c2d92815f,"","","","","","",""
2020-07-15T22:32:01.864+02:00,1,17,2020-07-15,22:32:01,41.572495,-73.40428,NY,11420,26940,"",1869,BATHGATE AVE,1,a177db03-aa7c-4723-bd27-df6dd03553b6,"","","","","","",""
2020-07-15T22:32:01.965+02:00,4,46,2020-07-15,22:32:01,43.991524,-75.49599,NY,0,0,"",35-53,95th St,1,cef578b2-2ce2-47b1-9f34-b0fae0d032fb,"","","","","","",""
2020-07-15T22:32:02.065+02:00,3,36,2020-07-15,22:32:02,41.079456,-75.68804,NY,10910,34850,"",819,9th Ave,1,c0d9171d-6272-45fd-839c-fbd12a7fb0d4,"","","","","","",""
2020-07-15T22:32:02.165+02:00,6,67,2020-07-15,22:32:02,43.260796,-77.99374,NY,0,0,"",41-43,Benham St,1,248fbafd-c8d5-4e30-acea-4d386be3253f,"","","","","","",""
2020-07-15T22:32:02.267+02:00,1,12,2020-07-15,22:32:02,41.241913,-73.2428,NY,16440,41700,"",76 08,79 PLACE,1,fc3fa973-69b7-4d3a-945d-af415011e957,"","","","","","",""
2020-07-15T22:32:02.384+02:00,1,15,2020-07-15,22:32:02,41.17809,-73.80342,NY,17250,10010,"",446,E 13th St,1,2dbd77d3-41e9-44fe-93c9-82b1d25c5467,"","","","","","",""
2020-07-15T22:32:02.519+02:00,6,61,2020-07-15,22:32:02,43.532043,-77.18233,NY,51090,24840,"",175-09,Jamaica Ave,1,1575ffc1-f42e-4c9a-9110-e2fdb2e28a92,"","","","","","",""
2020-07-15T22:32:02.615+02:00,4,41,2020-07-15,22:32:02,43.991524,-75.49599,NY,0,0,"",35-53,95th St,1,fe1cfb81-58b7-4e69-988c-4498e02ca5f8,"","","","","","",""
2020-07-15T22:32:02.711+02:00,3,33,2020-07-15,22:32:02,41.881485,-75.41801,NY,0,0,"",1505,E 15th St,1,b81b64e8-08b5-40cf-b1e5-69ba0db00fcf,"","","","","","",""
2020-07-15T22:32:02.809+02:00,1,15,2020-07-15,22:32:02,41.752686,-73.98486,NY,81930,63030,"",138,STOCKHOLM ST,1,5f9f5218-90ac-482f-a1b7-9f800dcc8591,"","","","","","",""
2020-07-15T22:32:02.915+02:00,4,45,2020-07-15,22:32:02,43.91636,-75.87146,NY,34170,10510,"",127,W 20th St,1,aba04b26-6e2b-407a-984b-65e76c0d08de,"","","","","","",""
2020-07-15T22:32:03.018+02:00,3,37,2020-07-15,22:32:03,41.765865,-75.07626,NY,54010,58330,"",202,Kent St,1,afa7500d-d186-47eb-aaf8-72d512b873dd,"","","","","","",""
2020-07-15T22:32:03.114+02:00,1,11,2020-07-15,22:32:03,41.572495,-73.40428,NY,11420,26940,"",1869,BATHGATE AVE,1,809d1927-82b8-4542-90a4-609aa4be5449,"","","","","","",""
2020-07-15T22:32:03.213+02:00,1,15,2020-07-15,22:32:03,41.879448,-73.56615,NY,86630,26230,"",907,UTICA AVE,1,ebb05d7b-6be7-4799-af12-1c06e7d3d8de,"","","","","","",""
2020-07-15T22:32:03.310+02:00,3,34,2020-07-15,22:32:03,41.99503,-75.83221,NY,24970,17790,"",88-19,178th St,1,6d2bbe42-6d29-4326-8b1b-ec34142b5068,"","","","","","",""
2020-07-15T22:32:03.417+02:00,6,61,2020-07-15,22:32:03,43.39261,-77.89896,NY,44890,32580,"",155,W Broadway,1,22c343bc-8168-4e0e-b0dd-ff804bf79d99,"","","","","","",""
2020-07-15T22:32:03.537+02:00,4,43,2020-07-15,22:32:03,43.53972,-75.81852,NY,13610,37610,"",4530,BROADWAY,1,59b038e9-1263-4c84-896f-78b3eac3f9a6,"","","","","","",""
2020-07-15T22:32:03.675+02:00,6,64,2020-07-15,22:32:03,43.246384,-77.44939,NY,72230,41930,"",1010,PRESIDENT ST,1,d26eb700-01dc-417c-be6c-3c7f486d0658,"","","","","","",""
2020-07-15T22:32:03.781+02:00,3,35,2020-07-15,22:32:03,41.307243,-75.81064,NY,70337,51470,"",23,Waldo Pl,1,30d01082-81d8-43de-95d9-ec3fbbc1b9d7,"","","","","","",""
